Name,Slug,Category,Reference to taxonomy,Definition,Evidence / Research,Source,Confidence,Potential value,Value type,Operational/ROI impact,Good example,Bad example,Enterprise insurance application,OGI user considerations,Potential metrics/signals,Checklist prompt,Number
Print and document outputs,print-and-document-outputs,Responsive & device behaviour,Responsive & device behaviour,"Print and document outputs is an experience quality consideration within responsive & device behaviour that affects how users understand, navigate or complete work.","Device, screen size and input method change task behaviour; enterprise workflows may remain desktop-first.",Responsive UX and device behaviour research,Medium-High,Better experience across the devices and contexts users actually use.,Experience Quality + Reach,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies print and document outputs deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores print and document outputs, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate print and document outputs without unnecessary confusion, friction or risk?",120
Digital confidence by age,digital-confidence-by-age,demographics & behaviour,demographics & behaviour,"Digital confidence by age is an experience quality consideration within demographics & behaviour that affects how users understand, navigate or complete work.","Needs vary by experience, confidence, accessibility, task familiarity and context. Avoid stereotypes and test with real users.",Digital inclusion and behavioural research,Medium,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies digital confidence by age deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores digital confidence by age, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate digital confidence by age without unnecessary confusion, friction or risk?",121
Accessibility needs with age,accessibility-needs-with-age,demographics & behaviour,demographics & behaviour,"Accessibility needs with age is an experience quality consideration within demographics & behaviour that affects how users understand, navigate or complete work.","Needs vary by experience, confidence, accessibility, task familiarity and context. Avoid stereotypes and test with real users.",Digital inclusion and behavioural research,Medium,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies accessibility needs with age deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores accessibility needs with age, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate accessibility needs with age without unnecessary confusion, friction or risk?",122
Device preferences,device-preferences,demographics & behaviour,demographics & behaviour,"Device preferences is an experience quality consideration within demographics & behaviour that affects how users understand, navigate or complete work.","Needs vary by experience, confidence, accessibility, task familiarity and context. Avoid stereotypes and test with real users.",Digital inclusion and behavioural research,Medium,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies device preferences deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores device preferences, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate device preferences without unnecessary confusion, friction or risk?",123
Digital literacy,digital-literacy,demographics & behaviour,demographics & behaviour,"Digital literacy is an experience quality consideration within demographics & behaviour that affects how users understand, navigate or complete work.","Needs vary by experience, confidence, accessibility, task familiarity and context. Avoid stereotypes and test with real users.",Digital inclusion and behavioural research,Medium,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies digital literacy deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores digital literacy, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate digital literacy without unnecessary confusion, friction or risk?",124
Neurodiversity considerations,neurodiversity-considerations,demographics & behaviour,demographics & behaviour,"Neurodiversity considerations is an experience quality consideration within demographics & behaviour that affects how users understand, navigate or complete work.","Needs vary by experience, confidence, accessibility, task familiarity and context. Avoid stereotypes and test with real users.",Digital inclusion and behavioural research,Medium,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies neurodiversity considerations deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores neurodiversity considerations, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate neurodiversity considerations without unnecessary confusion, friction or risk?",125
Task familiarity,task-familiarity,demographics & behaviour,demographics & behaviour,"Task familiarity is an experience quality consideration within demographics & behaviour that affects how users understand, navigate or complete work.","Needs vary by experience, confidence, accessibility, task familiarity and context. Avoid stereotypes and test with real users.",Digital inclusion and behavioural research,Medium,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies task familiarity deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores task familiarity, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate task familiarity without unnecessary confusion, friction or risk?",126
Trust perception differences,trust-perception-differences,demographics & behaviour,demographics & behaviour,"Trust perception differences is an experience quality consideration within demographics & behaviour that affects how users understand, navigate or complete work.","Needs vary by experience, confidence, accessibility, task familiarity and context. Avoid stereotypes and test with real users.",Digital inclusion and behavioural research,Medium,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies trust perception differences deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores trust perception differences, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate trust perception differences without unnecessary confusion, friction or risk?",127
User confidence,user-confidence,demographics & behaviour,demographics & behaviour,"User confidence is an experience quality consideration within demographics & behaviour that affects how users understand, navigate or complete work.","Needs vary by experience, confidence, accessibility, task familiarity and context. Avoid stereotypes and test with real users.",Digital inclusion and behavioural research,Medium,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies user confidence deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores user confidence, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate user confidence without unnecessary confusion, friction or risk?",128
Stress and urgency,stress-and-urgency,demographics & behaviour,demographics & behaviour,"Stress and urgency is an experience quality consideration within demographics & behaviour that affects how users understand, navigate or complete work.","Needs vary by experience, confidence, accessibility, task familiarity and context. Avoid stereotypes and test with real users.",Digital inclusion and behavioural research,Medium,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies stress and urgency deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores stress and urgency, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate stress and urgency without unnecessary confusion, friction or risk?",129
Learning curve,learning-curve,demographics & behaviour,demographics & behaviour,"Learning curve is an experience quality consideration within demographics & behaviour that affects how users understand, navigate or complete work.","Needs vary by experience, confidence, accessibility, task familiarity and context. Avoid stereotypes and test with real users.",Digital inclusion and behavioural research,Medium,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies learning curve deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores learning curve, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate learning curve without unnecessary confusion, friction or risk?",130
Power users vs occasional users,power-users-vs-occasional-users,demographics & behaviour,demographics & behaviour,"Power users vs occasional users is an experience quality consideration within demographics & behaviour that affects how users understand, navigate or complete work.","Needs vary by experience, confidence, accessibility, task familiarity and context. Avoid stereotypes and test with real users.",Digital inclusion and behavioural research,Medium,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies power users vs occasional users deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores power users vs occasional users, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate power users vs occasional users without unnecessary confusion, friction or risk?",131
Internal vs external users,internal-vs-external-users,demographics & behaviour,demographics & behaviour,"Internal vs external users is an experience quality consideration within demographics & behaviour that affects how users understand, navigate or complete work.","Needs vary by experience, confidence, accessibility, task familiarity and context. Avoid stereotypes and test with real users.",Digital inclusion and behavioural research,Medium,"Reduced friction, clearer decisions and more consistent experience quality.",Experience Quality + Operational Efficiency,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies internal vs external users deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores internal vs external users, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","task completion rate, time on task, support themes, usability test observations.","Can a user complete this workflow with appropriate internal vs external users without unnecessary confusion, friction or risk?",132
System Usability Scale,system-usability-scale,Research & measurement,Research & measurement,"System Usability Scale is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies system usability scale deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores system usability scale, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate system usability scale without unnecessary confusion, friction or risk?",133
Customer Effort Score,customer-effort-score,Research & measurement,Research & measurement,"Customer Effort Score is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies customer effort score deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores customer effort score, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate customer effort score without unnecessary confusion, friction or risk?",134
NPS,nps,Research & measurement,Research & measurement,"NPS is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies nps deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores nps, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate nps without unnecessary confusion, friction or risk?",135
Task success rate,task-success-rate,Research & measurement,Research & measurement,"Task success rate is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies task success rate deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores task success rate, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate task success rate without unnecessary confusion, friction or risk?",136
Time on task,time-on-task,Research & measurement,Research & measurement,"Time on task is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies time on task deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores time on task, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate time on task without unnecessary confusion, friction or risk?",137
Error rate,error-rate,Research & measurement,Research & measurement,"Error rate is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.",The system prevents invalid dates and explains field errors clearly at the point of entry.,Users complete a long form then receive a generic error message with no clear location or recovery guidance.,"Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate error rate without unnecessary confusion, friction or risk?",138
Completion rate,completion-rate,Research & measurement,Research & measurement,"Completion rate is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies completion rate deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores completion rate, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate completion rate without unnecessary confusion, friction or risk?",139
Abandonment rate,abandonment-rate,Research & measurement,Research & measurement,"Abandonment rate is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies abandonment rate deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores abandonment rate, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate abandonment rate without unnecessary confusion, friction or risk?",140
Search success rate,search-success-rate,Research & measurement,Research & measurement,"Search success rate is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","Users can quickly find policies, customers, documents and actions using predictable search and filters.",Users must know exact navigation paths or policy references before they can find anything.,"Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate search success rate without unnecessary confusion, friction or risk?",141
Feature adoption,feature-adoption,Research & measurement,Research & measurement,"Feature adoption is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies feature adoption deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores feature adoption, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate feature adoption without unnecessary confusion, friction or risk?",142
Support ticket themes,support-ticket-themes,Research & measurement,Research & measurement,"Support ticket themes is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies support ticket themes deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores support ticket themes, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate support ticket themes without unnecessary confusion, friction or risk?",143
User sentiment,user-sentiment,Research & measurement,Research & measurement,"User sentiment is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies user sentiment deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores user sentiment, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate user sentiment without unnecessary confusion, friction or risk?",144
Research confidence,research-confidence,Research & measurement,Research & measurement,"Research confidence is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies research confidence deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores research confidence, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate research confidence without unnecessary confusion, friction or risk?",145
Usability testing rounds,usability-testing-rounds,Research & measurement,Research & measurement,"Usability testing rounds is an experience quality consideration within research & measurement that affects how users understand, navigate or complete work.","Measurement makes UX visible. SUS, task success, time-on-task and error rate give teams ways to compare and track experience quality.","MeasuringU, NN/g, CX research",High,"Earlier issue discovery, clearer prioritisation and reduced late-stage rework.",Evidence Value,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies usability testing rounds deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores usability testing rounds, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","SUS, CES, task success, error rate, confidence score.","Can a user complete this workflow with appropriate usability testing rounds without unnecessary confusion, friction or risk?",146
Design system adoption,design-system-adoption,Governance & standards,Governance & standards,"Design system adoption is an experience quality consideration within governance & standards that affects how users understand, navigate or complete work.","Design systems and quality gates reduce inconsistency, repeated decisions and downstream rework.",Design system and operational governance research,Medium-High,"Better consistency, fewer repeated decisions and reduced design/development churn.",Strategic Value + Reduced Rework,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies design system adoption deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores design system adoption, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","component adoption, UX debt items, review findings, reopened defects.","Can a user complete this workflow with appropriate design system adoption without unnecessary confusion, friction or risk?",147
Component reuse,component-reuse,Governance & standards,Governance & standards,"Component reuse is an experience quality consideration within governance & standards that affects how users understand, navigate or complete work.","Design systems and quality gates reduce inconsistency, repeated decisions and downstream rework.",Design system and operational governance research,Medium-High,"Better consistency, fewer repeated decisions and reduced design/development churn.",Strategic Value + Reduced Rework,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies component reuse deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores component reuse, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","component adoption, UX debt items, review findings, reopened defects.","Can a user complete this workflow with appropriate component reuse without unnecessary confusion, friction or risk?",148
Pattern governance,pattern-governance,Governance & standards,Governance & standards,"Pattern governance is an experience quality consideration within governance & standards that affects how users understand, navigate or complete work.","Design systems and quality gates reduce inconsistency, repeated decisions and downstream rework.",Design system and operational governance research,Medium-High,"Better consistency, fewer repeated decisions and reduced design/development churn.",Strategic Value + Reduced Rework,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies pattern governance deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores pattern governance, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","component adoption, UX debt items, review findings, reopened defects.","Can a user complete this workflow with appropriate pattern governance without unnecessary confusion, friction or risk?",149
Accessibility debt register,accessibility-debt-register,Governance & standards,Governance & standards,"Accessibility debt register is an experience quality consideration within governance & standards that affects how users understand, navigate or complete work.","Design systems and quality gates reduce inconsistency, repeated decisions and downstream rework.",Design system and operational governance research,Medium-High,"Better consistency, fewer repeated decisions and reduced design/development churn.",Strategic Value + Reduced Rework,"May reduce rework, support demand, task time, user error, accessibility risk or design inconsistency depending on the workflow volume and severity.","The product applies accessibility debt register deliberately within the workflow so users can understand the state, make the right decision and complete the task confidently.","The product ignores accessibility debt register, increasing confusion, user effort, accessibility risk or operational friction.","Relevant to broker portals, PAS workflows, quote-and-buy journeys, customer portals, claims, documents, MTAs and servicing tasks.","Apply with context. PAS users may need dense data, shortcuts and persistent workflow context; clarity should support speed, not hide useful information.","component adoption, UX debt items, review findings, reopened defects.","Can a user complete this workflow with appropriate accessibility debt register without unnecessary confusion, friction or risk?",150
